"1","io.github.hidroh.materialistic","hidroh/materialistic","1133","349","1504","119","938","1057","9.436.034.115.138.590","1686","1124","10","[2; 1; 1; 3; 1645; 2; 1; 28; 1; 1; 1]"
"2","io.github.gsantner.memetastic","gsantner/memetastic","353","48","56","15","75","90","6.333.333.333.333.330","171","335","19","[2; 2; 2; 4; 5; 1; 2; 134; 1; 1; 1; 1; 3; 1; 3; 1; 3; 1; 3]"
"4","com.todobom.opennotescanner","ctodobom/OpenNoteScanner","749","111","358","26","73","99","12.893.150.684.931.500","164","677","14","[1; 1; 1; 1; 1; 137; 9; 2; 1; 1; 1; 4; 1; 1; 2]"
"6","com.greenaddress.abcore","greenaddress/abcore","783","18","40","9","38","47","6.023.684.210.526.310","205","698","3","[3; 200; 2]"
"7","com.mkulesh.micromath.plus","mkulesh/microMathematics","213","17","92","13","49","62","1.336.734.693.877.550","411","212","6","[1; 1; 366; 1; 6; 12; 24]"
"9","net.gsantner.markor","gsantner/markor","186","44","122","28","165","193","4.987.878.787.878.780","562","184","40","[4; 2; 1; 3; 1; 5; 1; 1; 91; 213; 5; 5; 4; 2; 4; 5; 1; 2; 2; 2; 1; 1; 12; 11; 5; 1; 10; 2; 1; 1; 10; 1; 1; 3; 1; 2; 115; 3; 2; 1; 24]"
"12","com.a5corp.weather","Sparker0i/Weather","611","21","26","9","29","38","8.275.862.068.965.510","656","588","2","[1; 641; 14]"
"17","fr.free.nrw.commons","commons-app/apps-android-commons","905","295","186","267","960","1227","29.636.458.333.333.300","3231","905","95","[6; 8; 1; 2; 20; 2; 9; 1; 25; 14; 381; 157; 4; 18; 87; 130; 1; 4; 1; 1; 8; 2; 2; 148; 77; 1; 1; 96; 4; 3; 2; 1; 2; 66; 1; 5; 1371; 5; 5; 1; 1; 1; 2; 3; 1; 3; 6; 3; 3; 1; 1; 4; 13; 1; 9; 3; 1; 3; 2; 94; 19; 2; 1; 22; 4; 18; 17; 2; 2; 1; 1; 1; 28; 3; 134; 58; 24; 4; 2; 9; 1; 1; 2; 5; 1; 1; 6; 1; 2; 2; 2; 3; 3; 2; 12; 7]"
"22","us.koller.cameraroll","kollerlukas/Camera-Roll-Android-App","419","49","267","40","101","141","11.009.900.990.099.000","313","369","9","[295; 1; 1; 6; 2; 2; 2; 3; 1]"
"27","org.shadowice.flocke.andotp","andOTP/andOTP","238","20","245","12","129","141","9.054.263.565.891.470","531","237","10","[374; 3; 2; 3; 65; 2; 1; 2; 3; 76]"
"39","com.termux","termux/termux-app","859","249","2093","192","404","596","28.207.920.792.079.200","409","837","12","[1; 1; 1; 392; 1; 1; 4; 1; 2; 2; 1; 2]"
"45","de.j4velin.pedometer","j4velin/Pedometer","1557","479","966","14","102","116","7.512.745.098.039.210","438","1466","23","[3; 4; 1; 1; 1; 372; 4; 1; 1; 13; 14; 1; 1; 1; 1; 1; 2; 2; 1; 9; 1; 1; 1; 1]"
"51","com.pcinpact","AnaelMobilia/NextINpact-Unofficial","1536","4","6","8","228","236","8.333.333.333.333.330","1001","1428","4","[2; 1; 986; 12]"
"54","com.manichord.mgit","maks/MGit","502","38","164","144","117","261","27.752.136.752.136.700","562","499","41","[2; 2; 1; 6; 1; 3; 1; 7; 1; 15; 1; 182; 7; 4; 1; 2; 1; 2; 1; 2; 1; 1; 10; 3; 1; 1; 4; 1; 1; 4; 7; 1; 1; 204; 1; 37; 4; 1; 27; 2; 6; 2]"
"59","saschpe.contactevents","saschpe/BirthdayCalendar","467","14","43","4","3","7","5.333.333.333.333.330","199","445","1","[199]"
"63","org.asdtm.goodweather","qqq3/good-weather","831","43","101","16","28","44","33.285.714.285.714.200","727","796","23","[2; 4; 2; 8; 1; 3; 4; 2; 3; 3; 3; 2; 3; 2; 1; 2; 649; 11; 1; 3; 3; 2; 7; 6]"
"71","com.health.openscale","oliexdev/openScale","1173","53","162","7","202","209","5.445.544.554.455.440","761","1172","22","[2; 512; 1; 167; 1; 7; 1; 1; 9; 8; 3; 1; 5; 6; 3; 1; 1; 3; 2; 20; 3; 1; 3]"
"93","at.linuxtage.companion","linuxtage/glt-companion","1079","1","4","3","3","6","0.0","316","747","4","[1; 29; 2; 4; 280]"
"95","org.thosp.yourlocalweather","thuryn/your-local-weather","52","2","6","15","13","28","7.384.615.384.615.380","96","48","9","[4; 3; 11; 5; 6; 59; 2; 4; 1; 1]"
"98","com.vrem.wifianalyzer","VREMSoftwareDevelopment/WifiAnalyzer","811","206","495","13","140","153","18.742.857.142.857.100","1049","766","15","[2; 2; 3; 1; 4; 5; 6; 7; 1004; 3; 2; 1; 2; 2; 1; 4]"
"99","org.domogik.domodroid13","domogik/domodroid","1713","4","11","59","105","164","5.223.809.523.809.520","2002","1488","3","[1; 1; 1667; 333]"
"112","protect.rentalcalc","brarcher/rental-calc","349","4","4","0","39","39","7.692.307.692.307.690","168","314","2","[162; 6]"
"118","com.afollestad.nocknock","afollestad/nock-nock","578","37","170","9","7","16","22.857.142.857.142.800","52","524","4","[49; 1; 1; 1]"
"122","openfoodfacts.github.scrachx.openfood","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"122","openfoodfacts.github.scrachx.openfood","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"122","openfoodfacts.github.scrachx.openfood","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"126","se.embargo.retroboy","mikljohansson/retroboy","975","5","13","2","1","3","0.0","186","832","2","[2; 167; 17]"
"128","com.genonbeta.TrebleShot","genonbeta/TrebleShot","658","18","61","13","21","34","48.333.333.333.333.300","361","655","10","[260; 31; 8; 4; 14; 8; 18; 1; 4; 9; 4]"
"142","io.trezor.app","trezor/trezor-android","1414","16","39","5","25","30","85.88","49","1360","2","[35; 14]"
"160","it.niedermann.owncloud.notes","stefan-niedermann/nextcloud-notes","880","35","153","61","279","340","4.734.767.025.089.600","355","880","20","[6; 5; 61; 7; 192; 1; 6; 1; 1; 1; 1; 4; 1; 1; 1; 2; 1; 1; 3; 46; 13]"
"161","de.chaosdorf.meteroid","chaosdorf/meteroid","1744","6","5","4","10","14","298.3","231","1741","6","[1; 1; 84; 3; 138; 3; 1]"
"165","protect.card_locker","brarcher/loyalty-card-locker","759","22","50","16","198","214","15.328.282.828.282.800","378","758","7","[2; 10; 2; 2; 1; 2; 298; 61]"
"169","org.xbmc.kore","xbmc/Kore","1141","182","271","91","423","514","423.758.865.248.227","670","1139","59","[1; 2; 15; 1; 1; 4; 4; 8; 1; 2; 1; 1; 3; 1; 6; 1; 1; 2; 1; 1; 1; 1; 2; 1; 1; 2; 1; 13; 9; 1; 1; 1; 9; 4; 1; 1; 2; 105; 4; 3; 1; 8; 2; 4; 2; 1; 7; 1; 7; 16; 3; 380; 1; 1; 1; 1; 1; 2; 10; 1]"
"170","info.schnatterer.nusic","schnatterer/nusic","1641","3","13","5","10","15","27.8","655","1617","3","[1; 651; 3]"
"175","com.twistedplane.sealnote","vishesh/sealnote","1121","31","58","36","32","68","5.703.125","337","1117","9","[1; 1; 301; 11; 11; 7; 2; 1; 1; 1]"
"176","org.openpetfoodfacts.scanner","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"176","org.openpetfoodfacts.scanner","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"176","org.openpetfoodfacts.scanner","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"188","com.serwylo.lexica","lexica/lexica","825","24","33","12","44","56","3.015.909.090.909.090","133","798","8","[1; 11; 5; 4; 2; 1; 108; 1]"
"194","org.runnerup","jonasoreland/runnerup/","1918","171","329","109","536","645","11.817.537.313.432.800","2075","1747","28","[18; 11; 1386; 1; 4; 2; 11; 1; 2; 10; 3; 3; 15; 1; 6; 12; 1; 1; 9; 1; 5; 8; 71; 311; 24; 2; 153; 1; 2]"
"195","com.google.android.gms","microg/android_packages_apps_UnifiedNlp","1455","87","323","46","103","149","4.052.427.184.466.010","222","1397","18","[2; 1; 1; 5; 1; 2; 1; 1; 3; 4; 5; 2; 2; 1; 6; 1; 1; 2; 181]"
"204","openfoodfacts.github.scrachx.openbeauty","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"204","openfoodfacts.github.scrachx.openbeauty","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"204","openfoodfacts.github.scrachx.openbeauty","openfoodfacts/openfoodfacts-androidapp","1028","116","110","298","689","987","47.522.496.371.552.900","4211","1028","37","[204; 1; 27; 1; 10; 1; 3; 1; 1; 4; 2; 7; 11; 1; 3; 5; 9; 5; 1; 153; 6; 3; 6; 6; 1; 22; 3; 1; 1; 7; 1; 69; 1; 1; 3612; 5; 10; 6]"
"206","de.stephanlindauer.criticalmaps","CriticalMaps/criticalmaps-android","1295","21","35","15","198","213","24.641.414.141.414.100","752","1112","10","[11; 383; 1; 3; 1; 34; 2; 6; 196; 111; 4]"
"207","de.live.gdev.timetracker","gsantner/kimai-android","1460","21","19","2","27","29","17.962.962.962.962.900","96","1364","17","[1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 40; 2; 1; 2; 1; 38; 1; 1]"
"211","com.github.cythara","gstraube/cythara","286","5","18","0","14","14","18.785.714.285.714.200","230","273","3","[1; 1; 228]"
"241","vlilleChecker","ojacquemart/vlilleChecker","2145","7","8","8","109","117","5.069.724.770.642.200","366","2069","1","[366]"
"256","andFHEM","klassm/andFHEM","2246","15","40","30","1238","1268","16.765.751.211.631.600","2526","2243","7","[5; 12; 3; 1; 8; 1413; 16; 1068]"
"267","SystemAppMover","j4velin/SystemAppMover","1560","27","63","4","11","15","3.113.636.363.636.360","65","1559","3","[1; 63; 1]"
"275","open-keychain","open-keychain/open-keychain","2182","342","975","210","2062","2272","58.300.678.952.473.300","6672","2181","92","[143; 5; 1; 1; 3; 2; 2; 39; 3; 1; 3; 3; 1; 1; 2; 2; 7; 1; 18; 5; 40; 3; 14; 6; 10; 3; 26; 10; 1; 26; 22; 15; 5; 1; 2; 2; 2; 1; 1; 2; 1; 6; 1978; 178; 3; 2; 128; 94; 8; 1; 2; 1; 2; 2; 79; 1; 2; 1; 3152; 1; 1; 2; 1; 1; 1; 1; 12; 9; 8; 3; 3; 38; 5; 9; 61; 16; 2; 4; 2; 12; 4; 23; 3; 1; 8; 8; 223; 97; 17; 14; 1; 2; 3]"
"286","BartRunnerAndroid","dougkeen/BartRunnerAndroid","1981","17","38","9","12","21","262.5","186","1847","5","[14; 2; 8; 2; 35; 125]"
"292","calendar-widget","plusonelabs/calendar-widget","2117","103","275","124","156","280","11.650.641.025.641.000","414","1845","14","[2; 1; 2; 2; 1; 4; 2; 1; 1; 119; 1; 1; 276; 1]"
"298","intent-intercept","intrications/intent-intercept","2099","72","237","6","43","49","8.676.744.186.046.510","138","1541","9","[1; 1; 1; 1; 2; 3; 9; 1; 102; 17]"
"305","prim-ftpd","wolpi/prim-ftpd","2096","28","124","11","118","129","7.648.305.084.745.760","478","2079","11","[1; 2; 1; 6; 18; 19; 2; 3; 421; 2; 3]"
"309","tinc_gui","Vilbrekin/tinc_gui","2016","25","64","7","34","41","643.529.411.764.706","81","1363","3","[6; 10; 58; 7]"
"317","ics-openconnect","cernekee/ics-openconnect","1552","47","161","14","13","27","1.526.153.846.153.840","1004","1535","5","[9; 1; 1; 510; 17; 466]"
"321","epmobile","mannd/epmobile","2388","5","10","1","32","33","294.375","671","2386","2","[1; 670]"
"339","Device-Frame-Generator","f2prateek/Device-Frame-Generator","1947","36","217","17","110","127","4.588.181.818.181.810","396","1645","2","[365; 23; 8]"
"358","k-9","k9mail/k-9","2581","1899","3672","689","2537","3226","3.677.296.018.919.980","7606","2580","185","[2; 1; 2; 1; 5; 13; 6; 2; 1; 1; 1; 1; 1; 1; 1; 4; 1; 1; 1; 3; 3; 2; 1; 1; 1; 1; 30; 5; 93; 368; 1; 2; 1; 4; 1; 3; 44; 1; 12; 246; 1; 1; 1; 533; 155; 1; 2; 9; 10; 1; 2; 10; 1; 202; 1; 8; 1; 1; 1; 31; 2; 5; 4; 1; 14; 2; 1; 1; 1; 2; 31; 1; 1; 2; 1; 2; 1; 1; 103; 1; 2; 138; 8; 1562; 1; 16; 1; 1; 18; 2; 1; 1; 1; 2; 1; 2; 1; 1; 1; 2; 1; 5; 3; 1; 5; 1; 1; 1; 43; 1; 116; 1; 2; 2; 3; 1; 14; 1; 1; 1; 146; 5; 6; 2; 1; 6; 1; 1; 1; 3; 92; 1; 1; 1; 16; 1; 18; 1; 30; 275; 1; 1; 1; 3; 3; 60; 1; 1; 2; 1; 3; 12; 8; 8; 2766; 1; 1; 6; 40; 1; 1; 1; 1; 1; 1; 14; 22; 1; 1; 1; 1; 2; 4; 3; 6; 1; 2; 2; 1; 1; 6; 1; 1; 1; 1; 17]"
"361","BalanduinoAndroidApp","TKJElectronics/BalanduinoAndroidApp","1953","25","25","3","3","6","3.0","376","1310","3","[1; 374; 1]"
"365","bitcoinium","veken0m/bitcoinium","2001","30","43","10","32","42","12.746.875","518","1725","5","[1; 14; 2; 494; 7]"
"379","ATimeTracker","netmackan/ATimeTracker","1674","36","71","56","33","89","42.333.333.333.333.300","132","1250","9","[50; 9; 1; 1; 5; 2; 1; 61; 2]"
"381","PinDroid","maxpower47/PinDroid","2630","61","250","28","53","81","9.909.433.962.264.150","941","2397","8","[1; 4; 1; 899; 3; 1; 23; 3; 6]"
"386","2048-android","uberspot/2048-android","1447","577","634","9","49","58","18.387.755.102.040.800","67","1334","14","[1; 1; 1; 2; 1; 1; 1; 2; 2; 7; 4; 2; 1; 39; 2]"
"390","AlarmClock","yuriykulikov/AlarmClock","2139","48","63","22","270","292","12.322.222.222.222.200","1614","2055","15","[5; 39; 1; 5; 2; 23; 509; 252; 1; 8; 15; 2; 3; 747; 1; 1]"
"400","MyHackerspace","fixme-lausanne/MyHackerspace","2139","23","35","13","51","64","7.247.058.823.529.410","407","1808","8","[3; 1; 4; 5; 1; 4; 5; 381; 3]"
"433","andstatus","andstatus/andstatus","2259","56","143","110","369","479","11.177.506.775.067.700","1866","2258","9","[5; 1734; 2; 96; 2; 8; 7; 5; 6; 1]"
"452","wheelmap-android","sozialhelden/wheelmap-android","2436","30","40","58","17","75","1.451.764.705.882.350","2008","2119","13","[11; 562; 207; 5; 214; 1; 7; 48; 17; 614; 139; 1; 181; 1]"
"461","Yaaic","pocmo/Yaaic","3198","114","281","113","121","234","1.499.090.909.090.900","1063","2566","19","[1; 31; 1; 2; 1; 1; 12; 1; 1; 1; 956; 1; 8; 1; 6; 13; 1; 18; 4; 3]"
"466","zxing","zxing/zxing","2331","7246","17578","12","939","951","1.090.947.816.826.410","3421","2326","83","[1; 1; 1; 1; 1; 2; 6; 1; 22; 1; 1; 1; 4; 1; 3; 1; 1; 1; 2; 1; 1; 1; 4; 3; 1; 1; 1; 1; 2; 1; 1; 2; 1; 3; 2; 1; 4; 1; 1; 2700; 1; 4; 21; 1; 1; 1; 2; 4; 1; 1; 553; 1; 1; 1; 1; 1; 1; 6; 1; 1; 2; 1; 1; 1; 1; 1; 1; 1; 1; 1; 3; 1; 1; 1; 1; 1; 3; 1; 1; 1; 2; 1; 3; 1]"
"478","mirakel-android","MirakelX/mirakel-android","1842","114","362","52","572","624","1.876.520.979.020.970","3722","1560","9","[1282; 7; 799; 2; 1589; 34; 1; 2; 1; 5]"
"488","SGit","sheimi/SGit","1647","111","306","0","285","285","18.901.754.385.964.900","401","1165","21","[2; 1; 6; 1; 7; 4; 4; 1; 1; 81; 7; 4; 1; 1; 204; 2; 37; 1; 1; 27; 6; 2]"
"533","SMSSync","ushahidi/SMSSync","2584","377","677","86","395","481","5.441.012.658.227.840","1816","2210","23","[1; 1; 1679; 4; 1; 3; 16; 2; 23; 6; 6; 1; 2; 1; 13; 3; 1; 1; 9; 5; 4; 3; 2; 29]"
"565","SubtleNews_Android_App","teamOSC/SubtleNews_Android_App","1542","5","10","1","1","2","0.0","103","315","3","[40; 50; 8; 5]"
"570","Atomic","indrora/Atomic","1483","29","115","64","74","138","48.351.351.351.351.300","1226","878","23","[1; 31; 1; 2; 1; 12; 4; 257; 1; 1; 1; 1; 845; 8; 1; 11; 6; 14; 1; 1; 18; 1; 4; 3]"
